Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2012-10-10,31.562220064367942,31.685536957818012,31.349840389332552,31.363542556762695,9333200,0.0,0.0,4.0
2012-10-11,31.480015676400182,31.500567624754012,30.925089550051283,30.966196060180664,12852300,0.0,0.0,4.0
2012-10-12,31.014155262821387,31.09636567738321,30.548291891267766,30.568843841552734,12900600,0.0,0.0,4.0
2012-10-15,30.472913971084942,30.637337320367806,29.972796761587762,30.486616134643555,17315500,0.0,0.0,4.0
2012-10-16,30.527731047203527,30.829170888391726,30.130376034644303,30.19888687133789,15480800,0.0,0.0,4.0
2012-10-17,30.246841756171396,30.68530063711607,30.075568592463565,30.637344360351562,15092600,0.0,0.0,3.0
2012-10-18,30.788064591802772,31.802001460842405,30.65789792134824,31.363542556762695,21680900,0.0,0.0,3.0
2012-10-19,31.49370574403445,31.527959849268235,30.89082356092118,30.938779830932617,13429300,0.0,0.0,4.0
2012-10-22,30.842873515954718,30.897679572706185,30.500327167639036,30.671600341796875,10691600,0.0,0.0,4.0
2012-10-23,30.41811752494738,30.548284199681476,30.109825281186307,30.192035675048828,11363700,0.0,0.0,4.0
2012-10-24,30.18519029186667,30.603094712664433,30.000214918683227,30.301654815673828,9852500,0.0,0.0,4.0
2012-10-25,30.541439092722012,30.657903617384747,30.10982988545662,30.315357208251953,9853000,0.0,0.0,4.0
2012-10-26,30.260548361738323,30.73326407632876,30.1577860076173,30.644201278686523,11651000,0.0,0.0,4.0
2012-10-31,30.808624299691438,31.00044944893689,30.418121609629388,30.582542419433594,10177600,0.0,0.0,4.0
2012-11-01,30.767512157593874,31.137462832055004,30.7332580462744,30.92508316040039,12382000,0.0,0.0,4.0
2012-11-02,30.81546045117464,31.1237526000071,30.486616363560184,30.50031852722168,17221300,0.0,0.0,4.0
2012-11-05,30.45236866642407,30.50032494261612,30.048163900361775,30.281095504760742,9781300,0.0,0.0,4.0
2012-11-06,30.335901486442612,30.57568548026213,30.08926771607787,30.3496036529541,8728300,0.0,0.0,4.0
2012-11-07,30.048168702740995,30.075573040208013,29.54805130436449,29.589155197143555,16522200,0.0,0.0,4.0
2012-11-08,29.602851787327424,29.62340634326499,29.061627984742046,29.191797256469727,19432400,0.0,0.0,4.0
2012-11-09,28.96571517630883,29.60970391256539,28.780739855049237,29.21234893798828,13325000,0.0,0.0,4.0
2012-11-12,29.219199712034868,29.417874574916727,29.116434779210508,29.157541275024414,6681600,0.0,0.0,4.0
2012-11-13,29.095892132131596,29.623413903189665,29.02053150577735,29.143848419189453,10385400,0.0,0.0,4.0
2012-11-14,29.15755924929928,29.376788801943285,28.86981882806501,28.938329696655273,12392600,0.0,0.0,4.0
